what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305091236864
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091241745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091247936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091252648
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091276953
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1305091276969
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305091283221
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1305091287726
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091299712
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091318545
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305091319381
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305091327264
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091327535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091327773
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305091329069
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091330407
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091364611
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.properties",1305091364639
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305091365236
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1305091366057
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091366364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091366387
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1305091368520
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1305091379190
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1305091384817
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305091385544
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305092034785
