what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1305521629080
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1305521629096
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1305521629143
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1305521629158
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1305521629158
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1305521629174
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1305521629205
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1305521629268
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1305521629299
started,bundle,org.eclipse.ui.navigator,3.5.0.I20100601-0800,"org.eclipse.ui.navigator",1305521629314
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1305521629330
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1305521629346
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1305521629361
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1305521629392
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1305521629424
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1305521629424
os,sysinfo,,,"win32",1305521629424
arch,sysinfo,,,"x86_64",1305521629424
ws,sysinfo,,,"win32",1305521629424
locale,sysinfo,,,"en_IN",1305521629424
processors,sysinfo,,,"8",1305521629424
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1305521629424
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1305521629424
java.specification.name,sysinfo,,,"Java Platform API Specification",1305521629424
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305521629424
java.specification.version,sysinfo,,,"1.6",1305521629424
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1305521629424
java.version,sysinfo,,,"1.6.0_24",1305521629424
java.vm.info,sysinfo,,,"mixed mode",1305521629424
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1305521629424
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1305521629424
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1305521629424
java.vm.specification.version,sysinfo,,,"1.0",1305521629424
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1305521629424
java.vm.version,sysinfo,,,"19.1-b02",1305521629424
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1305521629658
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1305521629673
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1305521630562
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1305521630578
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1305521630640
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1305521630703
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1305521630874
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521631093
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521633603
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1305521643108
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1305521643451
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1305521643467
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305521651797
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305521652172
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1305521653622
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305521661048
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305521663763
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1305521663887
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1305521679300
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521681562
started,bundle,org.eclipse.cdt.managedbuilder.ui,7.0.0.201102110609,"org.eclipse.cdt.managedbuilder.ui",1305521684854
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1305521708020
